year,team_abb,player,college,round,pick,official_key
1996,SEA,Drew Barry,Georgia Tech,2,57,"Drew Barry, 1996"
1996,DAL,Darnell Robinson,Arkansas,2,58,"Darnell Robinson, 1996"
1997,SAS,Tim Duncan,Wake Forest,1,1,"Tim Duncan, 1997"
1997,PHI,Keith Van Horn,Utah,1,2,"Keith Van Horn, 1997"
1997,BOS,Chauncey Billups,Colorado,1,3,"Chauncey Billups, 1997"
1997,VAN,Antonio Daniels,Bowling Green,1,4,"Antonio Daniels, 1997"
1997,DEN,Tony Battie,Texas Tech,1,5,"Tony Battie, 1997"
1997,BOS,Ron Mercer,Kentucky,1,6,"Ron Mercer, 1997"
1997,NJN,Tim Thomas,Villanova,1,7,"Tim Thomas, 1997"
1997,GSW,Adonal Foyle,Colgate,1,8,"Adonal Foyle, 1997"
1997,TOR,Tracy McGrady,No US College,1,9,"Tracy McGrady, 1997"
1997,MIL,Danny Fortson,Cincinnati,1,10,"Danny Fortson, 1997"
1997,SAC,Tariq Abdul-Wahad,San Jose State,1,11,"Tariq Abdul-Wahad, 1997"
1997,IND,Austin Croshere,Providence,1,12,"Austin Croshere, 1997"
1997,CLE,Derek Anderson,Kentucky,1,13,"Derek Anderson, 1997"
1997,LAC,Maurice Taylor,Michigan,1,14,"Maurice Taylor, 1997"
1997,DAL,Kelvin Cato,Iowa State,1,15,"Kelvin Cato, 1997"
1997,CLE,Brevin Knight,Stanford,1,16,"Brevin Knight, 1997"
1997,ORL,Johnny Taylor,Chattanooga,1,17,"Johnny Taylor, 1997"
1997,POR,Chris Anstey,No US College,1,18,"Chris Anstey, 1997"
1997,DET,Scot Pollard,Kansas,1,19,"Scot Pollard, 1997"
1997,MIN,Paul Grant,Wisconsin,1,20,"Paul Grant, 1997"
1997,NJN,Anthony Parker,Bradley,1,21,"Anthony Parker, 1997"
1997,ATL,Ed Gray,California,1,22,"Ed Gray, 1997"
1997,SEA,Bobby Jackson,Minnesota,1,23,"Bobby Jackson, 1997"
1997,HOU,Rodrick Rhodes,USC,1,24,"Rodrick Rhodes, 1997"
