year,team_abb,player,college,round,pick,official_key
1994,GSW,Anthony Miller,Michigan State,2,39,"Anthony Miller, Michigan State, 1994"
1994,MIA,Jeff Webster,Oklahoma,2,40,"Jeff Webster, Oklahoma, 1994"
1994,IND,William Njoku,No US College,2,41,"William Njoku, No US College, 1994"
1994,CLE,Gary Collier,Tulsa,2,42,"Gary Collier, Tulsa, 1994"
1994,POR,Shawnelle Scott,St. John's,2,43,"Shawnelle Scott, St. John's, 1994"
1994,IND,Damon Bailey,Indiana,2,44,"Damon Bailey, Indiana, 1994"
1994,GSW,Dwayne Morton,Louisville,2,45,"Dwayne Morton, Louisville, 1994"
1994,MIL,Voshon Lenard,Minnesota,2,46,"Voshon Lenard, Minnesota, 1994"
1994,UTA,Jamie Watson,South Carolina,2,47,"Jamie Watson, South Carolina, 1994"
1994,DET,Jevon Crudup,Missouri,2,48,"Jevon Crudup, Missouri, 1994"
1994,CHI,Kris Bruton,Benedict College,2,49,"Kris Bruton, Benedict College, 1994"
1994,PHO,Charles Claxton,Georgia,2,50,"Charles Claxton, Georgia, 1994"
1994,SAC,Lawrence Funderburke,Ohio State,2,51,"Lawrence Funderburke, Ohio State, 1994"
1994,PHO,Anthony Goldwire,Houston,2,52,"Anthony Goldwire, Houston, 1994"
1994,HOU,Albert Burditt,Texas,2,53,"Albert Burditt, Texas, 1994"
1994,SEA,Željko Rebrača,No US College,2,54,"Željko Rebrača, No US College, 1994"
1995,GSW,Joe Smith,Maryland,1,1,"Joe Smith, Maryland, 1995"
1995,LAC,Antonio McDyess,Alabama,1,2,"Antonio McDyess, Alabama, 1995"
1995,PHI,Jerry Stackhouse,UNC,1,3,"Jerry Stackhouse, UNC, 1995"
1995,WSB,Rasheed Wallace,UNC,1,4,"Rasheed Wallace, UNC, 1995"
1995,MIN,Kevin Garnett,No US College,1,5,"Kevin Garnett, No US College, 1995"
1995,VAN,Bryant Reeves,Oklahoma State,1,6,"Bryant Reeves, Oklahoma State, 1995"
1995,TOR,Damon Stoudamire,Arizona,1,7,"Damon Stoudamire, Arizona, 1995"
1995,POR,Shawn Respert,Michigan State,1,8,"Shawn Respert, Michigan State, 1995"
1995,NJN,Ed O'Bannon,UCLA,1,9,"Ed O'Bannon, UCLA, 1995"
1995,MIA,Kurt Thomas,TCU,1,10,"Kurt Thomas, TCU, 1995"
1995,MIL,Gary Trent,Ohio University,1,11,"Gary Trent, Ohio University, 1995"
1995,DAL,Cherokee Parks,Duke,1,12,"Cherokee Parks, Duke, 1995"
1995,SAC,Corliss Williamson,Arkansas,1,13,"Corliss Williamson, Arkansas, 1995"
1995,BOS,Eric Williams,Providence,1,14,"Eric Williams, Providence, 1995"
1995,DEN,Brent Barry,Oregon State,1,15,"Brent Barry, Oregon State, 1995"
1995,ATL,Alan Henderson,Indiana,1,16,"Alan Henderson, Indiana, 1995"
1995,CLE,Bob Sura,Florida State,1,17,"Bob Sura, Florida State, 1995"
1995,DET,Theo Ratliff,Wyoming,1,18,"Theo Ratliff, Wyoming, 1995"
1995,DET,Randolph Childress,Wake Forest,1,19,"Randolph Childress, Wake Forest, 1995"
1995,CHI,Jason Caffey,Alabama,1,20,"Jason Caffey, Alabama, 1995"
1995,PHO,Michael Finley,Wisconsin,1,21,"Michael Finley, Wisconsin, 1995"
1995,CHH,George Zídek,UCLA,1,22,"George Zídek, UCLA, 1995"
1995,IND,Travis Best,Georgia Tech,1,23,"Travis Best, Georgia Tech, 1995"
1995,DAL,Loren Meyer,Iowa State,1,24,"Loren Meyer, Iowa State, 1995"
1995,ORL,David Vaughn,Memphis,1,25,"David Vaughn, Memphis, 1995"
1995,SEA,Sherell Ford,University of Illinois at Chicago,1,26,"Sherell Ford, University of Illinois at Chicago, 1995"
1995,PHO,Mario Bennett,Arizona State,1,27,"Mario Bennett, Arizona State, 1995"
1995,UTA,Greg Ostertag,Kansas,1,28,"Greg Ostertag, Kansas, 1995"
