,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,Career,Jacksonville,,24,1,129,2.2,7.4,0.292,1.9,6.8,0.273,0.3,0.6,0.5,2.2,3.4,0.636,4.3,0.9,1.9,0.0,3.7,5.0,6.8,Admir Sahbegovic
0,1996-97,UC-Irvine,Big West,5,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,Puneet Sahi
1,1997-98,UC-Irvine,Big West,1,,,,,0.0,,,,,,0.0,,,,,,,,,,,Puneet Sahi
2,Career,UC-Irvine,,6,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,Puneet Sahi
0,2018-19,Troy,Sun Belt,10,0,37,5.4,11.9,0.455,3.2,8.6,0.375,2.2,3.2,0.667,2.2,4.3,0.5,6.5,2.2,4.3,1.1,2.2,9.7,15.1,Atakan Sahinkaya
1,2019-20,Troy,Sun Belt,14,4,167,2.4,6.9,0.345,2.2,4.8,0.45,0.2,2.2,0.111,1.9,4.6,0.42100000000000004,9.8,2.4,1.9,1.7,3.1,5.5,6.9,Atakan Sahinkaya
2,Career,Troy,,24,4,204,2.9,7.8,0.375,2.4,5.5,0.429,0.6,2.4,0.25,2.0,4.5,0.435,9.2,2.4,2.4,1.6,2.9,6.3,8.4,Atakan Sahinkaya
0,2010-11,Cornell,Ivy,14,1,54,3.0,10.4,0.28600000000000003,2.2,5.9,0.375,0.7,4.4,0.16699999999999998,0.0,0.7,0.0,8.1,2.2,1.5,1.5,4.4,5.2,6.7,Manny Sahota
1,Career,Cornell,,14,1,54,3.0,10.4,0.28600000000000003,2.2,5.9,0.375,0.7,4.4,0.16699999999999998,0.0,0.7,0.0,8.1,2.2,1.5,1.5,4.4,5.2,6.7,Manny Sahota
0,1991-92,Little Rock,Sun Belt,30,17,513,3.4,7.3,0.46799999999999997,3.4,7.1,0.484,0.0,0.2,0.0,1.8,3.3,0.5479999999999999,7.5,1.9,1.6,0.9,3.0,7.2,8.7,Bob Sahr
1,1992-93,Little Rock,Sun Belt,25,6,395,4.8,9.4,0.505,4.8,9.4,0.505,0.0,0.0,,2.3,3.8,0.605,6.5,1.4,0.6,0.6,2.7,6.0,11.8,Bob Sahr
2,Career,Little Rock,,55,23,908,4.0,8.2,0.48700000000000004,4.0,8.1,0.495,0.0,0.1,0.0,2.0,3.5,0.575,7.0,1.7,1.1,0.8,2.9,6.7,10.0,Bob Sahr
0,2013-14,Winthrop,Big South,3,0,19,0.0,8.4,0.0,0.0,6.3,0.0,0.0,2.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.3,0.0,0.0,Ivan Saicic
1,Career,Winthrop,,3,0,19,0.0,8.4,0.0,0.0,6.3,0.0,0.0,2.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.3,0.0,0.0,Ivan Saicic
0,2020-21,Lehigh,Patriot,4,0,6,0.0,6.7,0.0,0.0,0.0,,0.0,6.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jayshen Saigal
